Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
10.0.2.16 149.154.175.58 36938 443,1141989930,1142003721,1142003791,1142003795,1142003813,1142003824,,,36938,0x740a,4,1,4,11,,13662,13663
149.154.175.58 10.0.2.16 443 56672,1142383826,1142390081,1142390132,1142390138,1142390155,1142390165,,,443,0x1fbd,4,112,6,10,,6164,6276
10.0.2.16 149.154.175.53 32950 443,1142535602,1142541389,1142541459,1142541464,1142541482,1142541493,,,32950,0x6925,4,23,5,11,,5640,5663
10.0.2.16 149.154.175.58 51084 443,1142573772,1142637653,1142637724,1142637731,1142637749,1142637758,,,51084,0x699a,4,19,7,9,,62862,62881
149.154.167.151 10.0.2.16 443 59326,1142645073,1142650131,1142650188,1142650194,1142650212,1142650223,,,443,0x6731,4,18,6,11,,4998,5016
10.0.2.16 149.154.167.151 59326 443,1142644631,1142650583,1142650653,1142650660,1142650678,1142650688,,,59326,0x6187,4,32,7,10,,5816,5848
149.154.175.58 10.0.2.16 443 36386,1142689870,1142805324,1142805364,1142805376,1142805395,1142805409,,,443,0x4070,4,12,12,14,,113922,113934
149.154.175.53 10.0.2.16 443 32962,1142703674,1142816443,1142816514,1142816517,1142816535,1142816541,,,443,0x5b49,4,135,3,6,,111247,111382
149.154.175.58 10.0.2.16 443 45836,1142884494,1142888557,1142888575,1142888581,1142888599,1142888605,,,443,0x349a,4,56,6,6,,4017,4073
149.154.175.58 10.0.2.15 443 60040,1143070635,1143075801,1143075872,1143075881,1143075899,1143075915,,,443,0x26ca,4,53,9,16,,5050,5103
10.0.2.16 149.154.175.58 48668 443,1143133084,1143143618,1143143628,1143143636,1143143654,1143143667,,,48668,0x3b64,4,0,8,13,,10396,10396
149.154.175.53 10.0.2.16 443 57610,1143152236,1143158921,1143158970,1143158977,1143158996,1143159007,,,443,0x346d,4,77,7,11,,6613,6690
